இது+pron+dem+prox+3sgn+trans=ஆக	இதுவாக
இது+pron+dem+prox+3sgn+trans=ஆக+cop+fut+3sgn	இதுவாகும்
அது+pron+dem+dist+3sgn+trans=ஆக	அதுவாக
அது+pron+dem+dist+3sgn+trans=ஆக+cop+fut+3sgn	அதுவாகும்
எது+pron+inter+3sgn+trans=ஆக	எதுவாக
எது+pron+inter+3sgn+trans=ஆக+cop+fut+3sgn	எதுவாகும்
இவை+pron+dem+prox+3pln+trans=ஆக	இவையாக
இவை+pron+dem+prox+3pln+trans=ஆக+cop+fut+3pln	இவையாகும்
அவை+pron+dem+dist+3pln+trans=ஆக	அவையாக
அவை+pron+dem+dist+3pln+trans=ஆக+cop+fut+3pln	அவையாகும்
எவை+pron+inter+3pln+trans=ஆக	எவையாக
எவை+pron+inter+3pln+trans=ஆக+cop+fut+3pln	எவையாகும்
